Word,Frequency
evaluate,213
the,7587
diagnostic,65
performance,118
of,21816
id,2
now,2
covid,2970
test,455
carried,5
out,48
by,2215
nurses,9
in,8367
an,275
emergency,108
department,37
comparison,75
with,3482
reference,49
pcr,168
simplexa,1
direct,22
change,1122
on,2006
viral,543
load,242
results,139
from,2527
baseline,1583
after,986
using,475
covidusr,1
via,110
nebulization,2
a,1351
qualitative,38
analysis,138
parenchymal,7
lung,266
damage,52
induced,45
covida,1
quantitative,54
covidthe,27
potential,25
impact,203
morphological,5
ct,111
scans,10
patients,2236
severe,388
moderate,75
respiratory,782
failureautomated,1
segmentation,2
and,5884
ardsknowledge,1
chest,104
features,24
their,118
detail,1
through,328
use,262
machine,9
learning,17
other,159
techniquesthe,1
ability,37
within,209
which,39
artificial,12
intelligence,6
that,208
uses,2
deep,29
models,12
can,38
be,186
used,102
to,5047
predict,25
clinical,1421
outcomes,199
proportion,539
asymptomatic,110
subjectsproportion,1
subjects,508
recent,9
contact,30
historyproportion,1
travel,4
history,61
positive,493
cord,12
blood,697
or,1855
serologiescovid,1
amniotic,2
fluid,30
placentanew,1
born,6
infected,92
safetychange,2
requirement,70
for,2134
mechanical,792
ventilatory,50
support,167
breastfeeding,10
guidance,8
adherence,51
at,2509
birthcovid,1
month,198
postpartumcovid,1
months,315
postpartumexclusive,1
birthexclusive,1
monthexclusive,1
monthscovidstatuscovid,1
immunoglobulin,56
gcovid,1
m,43
severity,580
among,222
people,68
without,257
diabetesnumber,1
who,874
were,21
icunumber,19
had,41
tracheal,25
intubationnumber,7
complicationnumber,1
deathcorrelation,1
bmi,22
complications,94
intubation,99
mortalitylength,17
hospital,761
stay,297
correlation,81
between,653
volatile,14
organic,14
compounds,12
pattern,27
detection,111
statuscorrelation,2
time,1019
detectioncorrelation,2
set,9
found,9
breath,28
biopsy,5
disease,504
intensity,38
inhospital,61
mortality,502
secondary,133
treated,76
convalescent,112
plasmasafety,1
plasma,367
drom,1
donorsmortality,1
days,1355
yearinhospital,1
related,415
compared,368
nontreated,1
population,62
according,172
chilean,1
official,2
reportsnumber,1
hospitalization,316
high,127
complexity,3
facilities,6
usenumber,10
intensive,322
care,664
unit,264
usetotal,1
number,786
supporttotal,1
plasmanumber,1
treatment,582
plasmaviral,1
measuringimmunological,1
response,400
covidimmunoglobulin,2
g,44
neutralizing,352
antibodiesnegativization,1
since,23
usenegativization,1
hospitalizationnegativization,1
first,395
reported,94
symptoms,544
relateddonor,1
interferon,28
gamma,14
profile,112
characterizationdonor,8
granulocyte,7
macrophage,18
colony,5
stimulating,5
factor,92
tumor,35
necrosis,40
alfa,6
interleukin,99
beta,15
characterizationreceptor,9
characterization,16
reduce,14
mortalityreduce,1
ventilationreduce,1
duration,316
ventilationreview,1
adverse,1574
events,1125
development,58
tool,9
measure,162
frailtya,1
proxy,2
variable,4
fragility,3
index,242
built,3
basis,6
regional,10
administrative,3
databases,1
onlygive,1
elements,4
focus,12
screening,56
policies,3
covidgive,1
prevention,57
contagion,5
elderly,18
level,323
maternal,127
serology,43
igg,352
igmmaternalneonatal,1
igm,70
concordancematernal,1
timeprofile,1
following,182
vaccinationbreastmilk,1
serologycytokineneonatal,1
cytokinecovid,1
vs,158
vaccination,269
immune,265
responsecovid,2
vaccine,253
pregnant,33
nonpregnant,6
identification,35
demographic,67
factors,216
patientsdescription,1
disturbances,13
smell,34
tastedescription,1
influence,39
taste,35
association,40
vocs,11
second,148
doseassociation,1
participants,1787
characteristics,149
incidence,694
infection,647
hepatocellular,2
carcinoma,2
france,5
evaluation,119
viro,3
specificityevaluation,1
sensitivityevaluation,1
sensitivity,53
rtqpcr,60
cycle,24
threshold,18
value,100
pancreatobiliary,3
involvementincidence,2
involvementmedications,1
underlying,9
when,32
patient,390
was,19
diagnosed,54
have,139
covidrisk,7
associated,205
postponement,3
discontinuation,54
indicated,12
medical,196
during,875
outbreak,13
selfreported,79
version,57
leeds,2
assessment,389
neuropathic,2
signspaindeteceuroqoldthe,1
anxiety,453
depression,298
scale,1077
sarscov,1649
survival,122
discharge,215
day,1915
two,143
groupslength,1
groupsreadmission,1
rate,866
groupscomplications,1
groupssurvival,1
groupsroutine,1
lab,38
exams,10
values,138
groups,126
reactions,84
incidencerate,1
daystime,29
improvement,499
sevencategory,13
ordinal,513
scaleassessment,4
profileassessment,1
acutephase,1
serum,429
markers,124
assess,129
safety,330
tolerability,106
one,211
consecutive,12
intramuscular,10
injections,4
healthy,104
volunteersto,1
induction,14
spike,78
proteinbinding,4
antibodies,358
upon,10
administrations,3
means,21
elisa,68
up,207
study,449
neutralization,72
assay,104
proteinspecific,11
cellmediated,23
responses,69
doses,64
intracellular,6
staining,4
flow,123
cytometryto,1
measles,1
virus,192
shedding,46
saliva,64
nasal,139
swab,105
urine,24
samples,121
sentinel,3
identify,32
genetic,33
determinants,12
severityto,1
trajectories,7
responsesduration,2
breadth,1
b,153
t,193
cell,233
responsesimmune,1
risk,260
cognitive,129
functions,9
covidrehabilitation,1
intrahospital,6
mortalityidentify,1
build,2
prognostic,30
scorepredictive,2
durationpredictive,1
status,409
based,236
improvementdescribe,1
antiviral,13
therapies,14
commonly,2
this,39
terms,104
